codeiso2,power_line_range_length,power_line_total_length,power_plant_count,power_plant_output_mw
IN,"['""4""', '""146""', '""665""', '""59,913""', '""109,690""', '""112,873""', '""121,493""', '""43,676""', '""10,340""']",458804,3101,331539
ID,"['""0""', '""351""', '""0""', '""3,396""', '""25,710""', '""2,924""', '""4,794""', '""0""', '""1,516""']",38695,572,72692
IR,"['""6""', '""153""', '""4""', '""18,773""', '""13,331""', '""19,307""', '""18,746""', '""0""', '""11,816""']",82139,275,78439
IQ,"['""2""', '""0""', '""670""', '""49""', '""9,830""', '""0""', '""5,452""', '""0""', '""3,994""']",20001,78,50522
IE,"['""383""', '""13,156""', '""6,293""', '""5,121""', '""17""', '""1,823""', '""469""', '""0""', '""14,145""']",41411,315,13353
IL,"['""0""', '""0""', '""10""', '""4""', '""2,747""', '""0""', '""680""', '""0""', '""2,338""']",5782,199,18128
IT,"['""632""', '""4,360""', '""191""', '""2,677""', '""41,587""', '""9,063""', '""10,364""', '""0""', '""28,432""']",97309,6410,62677
CI,"['""1""', '""7""', '""0""', '""3,309""', '""0""', '""3,022""', '""42""', '""0""', '""4,614""']",10997,16,2329
JM,"['""0""', '""0""', '""0""', '""207""', '""360""', '""0""', '""0""', '""0""', '""54""']",623,20,1081
JP,"['""92""', '""156""', '""790""', '""28,017""', '""13,091""', '""11,179""', '""8,399""', '""423""', '""12,217""']",74369,14571,220775
JO,"['""0""', '""0""', '""0""', '""0""', '""1,834""', '""0""', '""800""', '""0""', '""136""']",2772,103,6084
KZ,"['""21""', '""182""', '""4,075""', '""22,859""', '""0""', '""21,595""', '""7,982""', '""0""', '""13,247""']",69964,237,19813
KE,"['""4""', '""15""', '""424""', '""0""', '""2,491""', '""1,909""', '""1,801""', '""0""', '""593""']",7239,79,2688
NL,"['""17""', '""261""', '""1,013""', '""1,950""', '""2,669""', '""783""', '""1,371""', '""0""', '""968""']",9035,1119,38524
KI,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,3,0
KW,"['""0""', '""0""', '""23""', '""31""', '""1,805""', '""937""', '""618""', '""0""', '""1,532""']",4948,16,19983
KG,"['""0""', '""0""', '""42""', '""1,033""', '""0""', '""1,578""', '""984""', '""0""', '""2,644""']",6282,36,4099
LA,"['""0""', '""0""', '""0""', '""4,196""', '""0""', '""2,185""', '""342""', '""0""', '""509""']",7234,93,11643
LV,"['""68""', '""21,304""', '""0""', '""2,904""', '""0""', '""0""', '""1,629""', '""0""', '""834""']",26741,141,2799
LB,"['""0""', '""0""', '""0""', '""270""', '""164""', '""368""', '""0""', '""0""', '""62""']",866,112,2302
LS,"['""10""', '""25""', '""558""', '""118""', '""487""', '""0""', '""0""', '""0""', '""314""']",1515,8,102
LR,"['""0""', '""0""', '""0""', '""51""', '""0""', '""446""', '""0""', '""0""', '""27""']",525,7,170
LY,"['""146""', '""0""', '""304""', '""1,860""', '""997""', '""8,448""', '""3,933""', '""0""', '""11,422""']",27113,33,11903
LI,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""5""']",5,2,18
LT,"['""18""', '""328""', '""3,466""', '""4,242""', '""0""', '""12""', '""1,712""', '""0""', '""1,389""']",11170,303,4669
LU,"['""0""', '""17""', '""0""', '""400""', '""10""', '""137""', '""0""', '""0""', '""892""']",1458,49,1450
MG,"['""0""', '""0""', '""0""', '""84""', '""151""', '""0""', '""0""', '""0""', '""59""']",295,38,378
MW,"['""0""', '""7""', '""2""', '""962""', '""1,141""', '""0""', '""193""', '""0""', '""64""']",2371,14,534
MY,"['""0""', '""4""', '""131""', '""18""', '""6,902""', '""6,837""', '""1,079""', '""0""', '""516""']",15490,182,37482
MV,"['""0""', '""0""', '""0""', '""0""', '""17""', '""8""', '""0""', '""0""', '""4""']",31,28,0
ML,"['""0""', '""0""', '""0""', '""118""', '""379""', '""772""', '""0""', '""0""', '""497""']",1767,26,818
MT,"['""0""', '""1""', '""55""', '""0""', '""13""', '""0""', '""0""', '""0""', '""0""']",71,10,307
MH,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,1,0
MR,"['""0""', '""0""', '""0""', '""191""', '""0""', '""597""', '""0""', '""0""', '""1,351""']",2140,31,574
MU,"['""0""', '""0""', '""0""', '""150""', '""0""', '""0""', '""0""', '""0""', '""5""']",156,30,489
MX,"['""0""', '""24""', '""1""', '""39,673""', '""1,194""', '""23,134""', '""20,798""', '""0""', '""2,269""']",87097,424,91157
MD,"['""246""', '""8,654""', '""1,955""', '""3,250""', '""0""', '""0""', '""634""', '""0""', '""900""']",15641,51,2929
MC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,0,0
MN,"['""0""', '""63""', '""2,380""', '""5,160""', '""0""', '""2,012""', '""0""', '""0""', '""7,195""']",16811,71,2128
ME,"['""0""', '""0""', '""123""', '""637""', '""0""', '""106""', '""216""', '""0""', '""933""']",2018,10,977
MA,"['""2""', '""9,192""', '""1""', '""10,734""', '""102""', '""8,851""', '""1,988""', '""0""', '""6,279""']",37152,119,11410
MZ,"['""0""', '""0""', '""0""', '""3,750""', '""11""', '""2,292""', '""2,034""', '""0""', '""854""']",8943,26,3318
MM,"['""2""', '""2,130""', '""424""', '""2,815""', '""2,242""', '""5,833""', '""439""', '""0""', '""1,023""']",14913,104,7013
NA,"['""14""', '""7,559""', '""8,501""', '""3,473""', '""2,310""', '""2,473""', '""2,876""', '""0""', '""702""']",27911,112,760
NR,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""1""']",1,3,6
NP,"['""2""', '""11""', '""99""', '""152""', '""2,289""', '""570""', '""367""', '""0""', '""260""']",3753,73,1298
NZ,"['""1,774""', '""55,485""', '""8,027""', '""7,039""', '""0""', '""6,044""', '""704""', '""0""', '""6,765""']",85840,138,10265
NI,"['""0""', '""0""', '""0""', '""114""', '""1,599""', '""653""', '""0""', '""0""', '""120""']",2487,35,1317
NE,"['""0""', '""0""', '""0""', '""95""', '""646""', '""0""', '""0""', '""0""', '""631""']",1372,16,289
NG,"['""0""', '""20""', '""18""', '""0""', '""6,092""', '""0""', '""6,904""', '""0""', '""831""']",13865,96,16280
KP,"['""0""', '""0""', '""0""', '""831""', '""3""', '""1,439""', '""0""', '""0""', '""4,127""']",6402,65,1638
MK,"['""0""', '""0""', '""0""', '""1,401""', '""0""', '""65""', '""423""', '""0""', '""167""']",2057,35,1678
NO,"['""424""', '""14,910""', '""1,645""', '""8,922""', '""11,081""', '""4,410""', '""5,168""', '""0""', '""11,903""']",58466,1157,40901
OM,"['""0""', '""0""', '""0""', '""0""', '""6,751""', '""941""', '""1,626""', '""0""', '""1,317""']",10637,40,14375
PK,"['""3""', '""19""', '""4""', '""2,429""', '""14,091""', '""6,275""', '""7,172""', '""886""', '""10,343""']",41227,242,48260
PW,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,0
PA,"['""0""', '""0""', '""0""', '""291""', '""0""', '""1,714""', '""0""', '""0""', '""137""']",2143,87,3421
PG,"['""0""', '""26""', '""0""', '""312""', '""412""', '""0""', '""0""', '""0""', '""201""']",953,29,402
PY,"['""5""', '""25""', '""1""', '""276""', '""0""', '""3,459""', '""765""', '""0""', '""313""']",4846,4,3310
CN,"['""16""', '""579""', '""6,750""', '""220,282""', '""83""', '""297,169""', '""214,738""', '""68,163""', '""231,182""']",1038966,11285,1651033
PE,"['""0""', '""25""', '""98""', '""600""', '""2,942""', '""9,201""', '""2,881""', '""0""', '""5,843""']",21594,127,11988
PH,"['""103""', '""244""', '""306""', '""3,671""', '""4,446""', '""4,586""', '""1,705""', '""0""', '""909""']",15974,224,26067
PL,"['""3,275""', '""58,879""', '""1,104""', '""30,321""', '""1""', '""5,970""', '""6,244""', '""0""', '""8,901""']",114698,3457,45833
PT,"['""24""', '""18,010""', '""16,002""', '""9,447""', '""2,010""', '""2,915""', '""2,904""', '""0""', '""796""']",52111,1444,27443
QA,"['""0""', '""0""', '""0""', '""81""', '""64""', '""544""', '""329""', '""0""', '""871""']",1892,18,12729
CG,"['""0""', '""0""', '""0""', '""567""', '""0""', '""1,030""', '""0""', '""0""', '""55""']",1652,6,762
RO,"['""8""', '""107""', '""48""', '""15,965""', '""0""', '""3,567""', '""4,587""', '""0""', '""3,666""']",27950,371,16982
RU,"['""1,435""', '""25,090""', '""114,111""', '""183,836""', '""2,241""', '""104,469""', '""61,091""', '""2,840""', '""119,613""']",614730,3788,247880
RW,"['""0""', '""0""', '""17""', '""662""', '""0""', '""405""', '""0""', '""0""', '""135""']",1221,32,279
KN,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,3,2
LC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,87
VC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,37
WS,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""3""']",3,25,33
SM,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""12""']",12,0,0
SA,"['""0""', '""0""', '""1,177""', '""6,133""', '""12,387""', '""2,762""', '""24,209""', '""0""', '""4,797""']",51468,171,87959
SN,"['""0""', '""0""', '""0""', '""208""', '""0""', '""1,569""', '""0""', '""0""', '""477""']",2255,42,1418
RS,"['""1""', '""72""', '""449""', '""5,091""', '""0""', '""1,470""', '""1,610""', '""0""', '""2,991""']",11687,117,8023
SC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""4""']",4,4,11
SL,"['""0""', '""0""', '""0""', '""0""', '""218""', '""375""', '""0""', '""0""', '""2""']",597,22,231
SG,"['""0""', '""0""', '""0""', '""0""', '""0""', '""3""', '""0""', '""0""', '""13""']",17,28,11916
SK,"['""145""', '""13,546""', '""0""', '""4,539""', '""0""', '""520""', '""1,678""', '""0""', '""5,900""']",26331,210,6593
SI,"['""139""', '""1,850""', '""65""', '""1,837""', '""0""', '""261""', '""525""', '""0""', '""1,573""']",6253,111,2985
SB,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,0
SO,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""1""']",1,20,7
ZA,"['""8""', '""186""', '""291""', '""16,336""', '""26,622""', '""8,766""', '""21,049""', '""2,799""', '""7,042""']",83103,849,66337
KR,"['""0""', '""115""', '""0""', '""0""', '""9,367""', '""108""', '""4,557""', '""556""', '""394""']",15099,3322,122357
SS,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""56""']",57,11,82
ES,"['""123""', '""10,495""', '""12,282""', '""15,603""', '""16,760""', '""15,792""', '""14,941""', '""0""', '""31,674""']",117674,4278,89405
LK,"['""16""', '""224""', '""373""', '""0""', '""2,307""', '""1,049""', '""0""', '""0""', '""302""']",4274,66,3248
PS,"['""0""', '""0""', '""0""', '""0""', '""121""', '""0""', '""0""', '""0""', '""56""']",178,67,208
SD,"['""0""', '""0""', '""0""', '""1,005""', '""0""', '""4,062""', '""976""', '""0""', '""381""']",6426,90,3913
SR,"['""0""', '""0""', '""0""', '""0""', '""133""', '""0""', '""0""', '""0""', '""0""']",133,9,377
SE,"['""6""', '""1,055""', '""4,476""', '""8,848""', '""7,019""', '""4,009""', '""10,840""', '""0""', '""17,258""']",53514,1272,26410
CH,"['""73""', '""510""', '""296""', '""2,345""', '""1,670""', '""2,355""', '""1,411""', '""0""', '""4,820""']",13482,467,16729
SY,"['""22""', '""0""', '""0""', '""3,164""', '""75""', '""5,622""', '""1,710""', '""0""', '""14,359""']",24954,64,7780
ST,"['""0""', '""0""', '""103""', '""0""', '""0""', '""0""', '""0""', '""0""', '""7""']",111,5,32
TW,"['""0""', '""0""', '""0""', '""1,277""', '""2,214""', '""0""', '""2,220""', '""0""', '""1,805""']",7518,425,54295
TJ,"['""0""', '""0""', '""67""', '""727""', '""4""', '""1,554""', '""793""', '""0""', '""2,082""']",5229,42,9434
TZ,"['""2""', '""11""', '""74""', '""273""', '""1,619""', '""4,314""', '""674""', '""0""', '""592""']",7562,32,3796
TH,"['""0""', '""26""', '""0""', '""9,785""', '""0""', '""7,931""', '""4,213""', '""0""', '""106""']",22064,324,39025
BS,"['""0""', '""0""', '""0""', '""0""', '""29""', '""0""', '""0""', '""0""', '""96""']",126,14,225
GM,"['""0""', '""0""', '""0""', '""0""', '""0""', '""143""', '""0""', '""0""', '""4""']",148,6,156
TL,"['""0""', '""0""', '""0""', '""0""', '""547""', '""0""', '""0""', '""0""', '""4""']",552,4,272
TG,"['""0""', '""0""', '""0""', '""0""', '""401""', '""0""', '""41""', '""0""', '""288""']",731,7,282
TO,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""3""']",3,6,0
TT,"['""0""', '""0""', '""0""', '""29""', '""145""', '""50""', '""0""', '""0""', '""50""']",277,4,0
TN,"['""5""', '""21""', '""220""', '""171""', '""2,605""', '""2,316""', '""210""', '""0""', '""375""']",5926,38,6247
TR,"['""15""', '""11""', '""3,437""', '""207""', '""32,992""', '""0""', '""23,719""', '""3""', '""9,686""']",70074,1513,82949
TM,"['""0""', '""0""', '""0""', '""3,336""', '""0""', '""5,441""', '""769""', '""0""', '""4,945""']",14493,41,5451
TV,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,0
UG,"['""29""', '""5""', '""1""', '""29""', '""1,509""', '""618""', '""302""', '""0""', '""1,030""']",3527,41,1913
UA,"['""224""', '""3,467""', '""63,977""', '""31,290""', '""8,152""', '""3,524""', '""13,117""', '""3,828""', '""3,151""']",130735,1175,52865
AE,"['""0""', '""0""', '""210""', '""0""', '""845""', '""1,802""', '""3,443""', '""0""', '""4,381""']",10682,102,62026
GB,"['""413""', '""40,852""', '""30,352""', '""6,515""', '""14,124""', '""5,772""', '""7,408""', '""0""', '""66,459""']",171898,3357,105262
US,"['""18,459""', '""52,505""', '""60,237""', '""333,164""', '""170,544""', '""123,369""', '""142,774""', '""3,924""', '""127,040""']",1032019,14532,1260393
UY,"['""0""', '""0""', '""188""', '""490""', '""3,704""', '""0""', '""1,224""', '""0""', '""1,823""']",7431,75,3910
UZ,"['""0""', '""0""', '""100""', '""3,034""', '""0""', '""8,281""', '""2,095""', '""0""', '""8,961""']",22474,141,20726
VU,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,4
VA,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,0,0
VE,"['""6""', '""18""', '""10""', '""7,687""', '""37""', '""5,020""', '""4,818""', '""2,250""', '""2,369""']",22219,75,24512
VN,"['""1""', '""43""', '""13""', '""9,268""', '""0""', '""9,973""', '""8,634""', '""0""', '""2,111""']",30045,508,65570
YE,"['""0""', '""0""', '""0""', '""0""', '""1,286""', '""0""', '""195""', '""0""', '""700""']",2182,1660,264
ZM,"['""0""', '""8""', '""249""', '""4,831""', '""1,641""', '""632""', '""4,555""', '""0""', '""1,488""']",13407,34,3896
ZW,"['""0""', '""0""', '""57""', '""442""', '""2,590""', '""0""', '""3,755""', '""0""', '""351""']",7198,47,3236
